"nume","stele","pret","moneda","oras","data_checkin","data_checkout","data_culegere"
"Europa Royale Bucharest",4,990,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"The Marmorosch Bucharest, Autograph Collection",5,1953,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hilton Garden Inn Bucharest",4,1109,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Michelangelo",3,768,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Novotel Bucharest City Centre",4,998,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Ambasador",4,1102,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"JW Marriott Bucharest Grand Hotel",5,1709,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Ramada Plaza Bucharest",4,1318,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Ramada Parc Hotel",4,921,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Park Inn by Radisson Bucharest Hotel & Residence",4,1498,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Caro Hotel",4,1147,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Crystal Palace Hotel",4,1207,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Zava Boutique Hotel Central",3,692,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"International Bucharest City Centre Hotel",4,1268,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Grand Hotel Bucharest",5,1537,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Unique Bucharest",4,1020,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Moxy Bucharest Old Town",3,875,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Parliament",4,1045,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Sheraton Bucharest Hotel",5,1303,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Atrium Hotel Bucharest City Center",4,779,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Athenee Palace Hilton Bucharest",5,1789,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Capitol Hotel",4,1130,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Orhideea Residence & Spa",4,1534,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"ibis Styles Bucharest City Center",3,903,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Cismigiu",4,1652,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Park Inn by Radisson Bucharest Hotel & Residence",4,1498,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Phoenicia Grand Hotel",4,1168,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Mercure Bucharest Unirii",4,805,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Courtyard by Marriott Bucharest Floreasca",4,1103,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Grand Boutique Hotel",4,941,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Capital Plaza Hotel",4,1020,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Grand Hotel Continental",5,1560,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Sir Gara de Nord",1,360,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hello Hotels Gara de Nord",2,555,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"K+K Hotel Elisabeta",4,1119,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Atrium Hotel Ateneu City Center",3,651,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Sir Lujerului",2,495,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Le Blanc ApartHotel",4,1197,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Lido by Phoenicia",4,1623,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Pullman Bucharest World Trade Center",4,1059,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Golden Tulip Victoria Bucharest",4,891,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Rembrandt Hotel",3,897,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Continental Forum Bucuresti Palatul Parlamentului",4,801,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Bucur Accommodation",3,702,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Epoque Hotel - Relais & Chateaux",5,1941,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Concorde Old Bucharest Hotel",4,1521,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Berthelot",4,990,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Mercure Bucharest City Center",4,1049,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Holiday Inn Bucharest - Times, an IHG Hotel",4,1492,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Park Inn by Radisson Bucharest Hotel & Residence",4,1498,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Phoenicia Grand Hotel",4,1168,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Mercure Bucharest Unirii",4,805,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Courtyard by Marriott Bucharest Floreasca",4,1103,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Grand Boutique Hotel",4,941,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Capital Plaza Hotel",4,1020,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Grand Hotel Continental",5,1560,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Sir Gara de Nord",1,360,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hello Hotels Gara de Nord",2,555,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"K+K Hotel Elisabeta",4,1119,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Atrium Hotel Ateneu City Center",3,651,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Hotel Sir Lujerului",2,495,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
"Le Blanc ApartHotel",4,1197,"RON","Bucuresti","2022-03-28","2022-03-31",2022-03-06
