"nume","stele","pret","moneda","oras","mic_dejun","tip_camera","data_checkin","data_checkout","data_culegere"
"ibis Styles Bucharest City Center",3,676,"RON","Bucuresti",TRUE,"Cameră twin standard","2022-04-25","2022-04-27",2022-04-04
"Grand Hotel Bucharest",5,914,"RON","Bucuresti",FALSE,"Cameră dublă sau twin superioară","2022-04-25","2022-04-27",2022-04-04
"JW Marriott Bucharest Grand Hotel",5,1310,"RON","Bucuresti",FALSE,"Cameră Deluxe cu un pat king-size","2022-04-25","2022-04-27",2022-04-04
"MyContinental Bucuresti Gara de Nord",3,570,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Sheraton Bucharest Hotel",5,927,"RON","Bucuresti",FALSE,"Cameră clasică cu 1 pat king-size și vedere la oraș","2022-04-25","2022-04-27",2022-04-04
"Hello Hotels Gara de Nord",2,400,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Ramada Plaza Bucharest",4,1134,"RON","Bucuresti",TRUE,"Cameră Deluxe cu 1 pat king-size și acces la spa","2022-04-25","2022-04-27",2022-04-04
"Zava Boutique Hotel Central",3,468,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Yesterday",3,480,"RON","Bucuresti",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Sir Gara de Nord",1,270,"RON","Bucuresti",FALSE,"Cameră twin cu baie comună","2022-04-25","2022-04-27",2022-04-04
"Capital Plaza Hotel",4,705,"RON","Bucuresti",FALSE,"Cameră dublă/twin standard","2022-04-25","2022-04-27",2022-04-04
"Moxy Bucharest Old Town",3,583,"RON","Bucuresti",FALSE,"Cameră Standard Moxy cu 2 paturi twin/de o persoană","2022-04-25","2022-04-27",2022-04-04
"Continental Forum Bucuresti Palatul Parlamentului",4,540,"RON","Bucuresti",FALSE,"Cameră twin Business","2022-04-25","2022-04-27",2022-04-04
"Caro Hotel",4,749,"RON","Bucuresti",FALSE,"Cameră Business cu acces gratuit la zona de wellness","2022-04-25","2022-04-27",2022-04-04
"Hilton Garden Inn Bucharest",4,835,"RON","Bucuresti",FALSE,"Cameră Queen","2022-04-25","2022-04-27",2022-04-04
"Grand Hotel Continental",5,1040,"RON","Bucuresti",FALSE,"Cameră dublă superioară","2022-04-25","2022-04-27",2022-04-04
"Graffiti Hotel",3,720,"RON","Bucuresti",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Euro Hotel Grivita",3,520,"RON","Bucuresti",FALSE,"Suită Junior","2022-04-25","2022-04-27",2022-04-04
"Casa Gabriela",3,444,"RON","Bucuresti",FALSE,"Cameră twin standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Sir Colentina",2,310,"RON","Bucuresti",FALSE,"Cameră twin","2022-04-25","2022-04-27",2022-04-04
"Novotel Bucharest City Centre",4,768,"RON","Bucuresti",FALSE,"Cameră dublă superioară","2022-04-25","2022-04-27",2022-04-04
"ibis Styles Bucharest City Center",3,676,"RON","Bucuresti",TRUE,"Cameră twin standard","2022-04-25","2022-04-27",2022-04-04
"Grand Hotel Bucharest",5,914,"RON","Bucuresti",FALSE,"Cameră dublă sau twin superioară","2022-04-25","2022-04-27",2022-04-04
"JW Marriott Bucharest Grand Hotel",5,1310,"RON","Bucuresti",FALSE,"Cameră Deluxe cu un pat king-size","2022-04-25","2022-04-27",2022-04-04
"MyContinental Bucuresti Gara de Nord",3,570,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Sheraton Bucharest Hotel",5,927,"RON","Bucuresti",FALSE,"Cameră clasică cu 1 pat king-size și vedere la oraș","2022-04-25","2022-04-27",2022-04-04
"Hello Hotels Gara de Nord",2,400,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Ramada Plaza Bucharest",4,1134,"RON","Bucuresti",TRUE,"Cameră Deluxe cu 1 pat king-size și acces la spa","2022-04-25","2022-04-27",2022-04-04
"Zava Boutique Hotel Central",3,468,"RON","Bucuresti",FALSE,"Cameră dublă standard","2022-04-25","2022-04-27",2022-04-04
"Hotel Yesterday",3,480,"RON","Bucuresti",FALSE,"Cameră dublă","2022-04-25","2022-04-27",2022-04-04
"Hotel Sir Gara de Nord",1,270,"RON","Bucuresti",FALSE,"Cameră twin cu baie comună","2022-04-25","2022-04-27",2022-04-04
"Capital Plaza Hotel",4,705,"RON","Bucuresti",FALSE,"Cameră dublă/twin standard","2022-04-25","2022-04-27",2022-04-04
"Moxy Bucharest Old Town",3,583,"RON","Bucuresti",FALSE,"Cameră Standard Moxy cu 2 paturi twin/de o persoană","2022-04-25","2022-04-27",2022-04-04
"Continental Forum Bucuresti Palatul Parlamentului",4,540,"RON","Bucuresti",FALSE,"Cameră twin Business","2022-04-25","2022-04-27",2022-04-04
"Caro Hotel",4,749,"RON","Bucuresti",FALSE,"Cameră Business cu acces gratuit la zona de wellness","2022-04-25","2022-04-27",2022-04-04
