"nume","stele","tip_camera","suprafata_camera","numar_persoane","pret","moneda","mic_dejun_inclus","rambursabil","distanta","oras","data_checkin","data_checkout","zile_sejur","data_colectare"
"Avenue Parliament - Avenue Hotels",3,"
Cameră twin cu pat suplimentar
","40 m²",2,802,"RON",FALSE,TRUE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Apartament cu 1 dormitor
","45 m²",2,819,"RON",FALSE,FALSE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Apartament cu 1 dormitor
","45 m²",2,1031,"RON",FALSE,TRUE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Apartament Deluxe
","65 m²",2,862,"RON",FALSE,FALSE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Apartament Deluxe
","65 m²",2,1085,"RON",FALSE,TRUE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Loft
","40 m²",2,958,"RON",FALSE,FALSE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Avenue Parliament - Avenue Hotels",3,"
Loft
","40 m²",2,1206,"RON",FALSE,TRUE,"la 1,8 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră dublă standard ATRIUM
","23 m²",2,1366,"RON",FALSE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră dublă standard ATRIUM
","23 m²",2,1499,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră dublă standard
","24 m²",2,1461,"RON",FALSE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră dublă standard
","24 m²",2,1594,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră twin standard
","23 m²",2,1461,"RON",FALSE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră twin standard
","23 m²",2,1594,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră Queen Deluxe
","28 m²",2,1841,"RON",FALSE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Cameră Queen Deluxe
","28 m²",2,1974,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Suită Junior
","31 m²",2,2163,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Europa Royale Bucharest",4,"
Suită 
","42 m²",2,2353,"RON",TRUE,TRUE,"la 450 m de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Zava Boutique Hotel Central",3,"
Cameră twin Deluxe
","18 m²",2,593,"RON",FALSE,TRUE,"la 1,5 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Zava Boutique Hotel Central",3,"
Cameră twin Deluxe
","18 m²",2,690,"RON",TRUE,TRUE,"la 1,5 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Zava Boutique Hotel Central",3,"
Cameră dublă superioară
","22 m²",2,602,"RON",FALSE,TRUE,"la 1,5 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
"Zava Boutique Hotel Central",3,"
Cameră dublă superioară
","22 m²",2,700,"RON",TRUE,TRUE,"la 1,5 km de centru","Bucuresti","2022-11-11","2022-11-13","2",2022-09-18
