"","ID","nume","pret","um","instoc","descriere","url","idcategorie","numecategorie","idsubcateg","numesubcateg"
"1","P-1810719","Banane / kg",4.99,"kilogram","AVAILABLE","Banane la kg","https://www.cora.ro/banane-kg-P-1810719",77148,"Alimente",77150,"Fructe"
"2","P-2493619","Banane Dole / kg",6.99,"kilogram","AVAILABLE","Dole Banane la kg","https://www.cora.ro/banane-dole-kg-P-2493619",77148,"Alimente",77150,"Fructe"
"3","P-1809313","Clementine la kg",4.99,"kilogram","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/clementine-la-kg-P-1809313",77148,"Alimente",77150,"Fructe"
"4","P-1832454","Lamai / kg",4.49,"kilogram","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/lamai-kg-P-1832454",77148,"Alimente",77150,"Fructe"
"5","P-1809137","Mere Idared / kg",2.99,"kilogram","AVAILABLE","Mere proaspete","https://www.cora.ro/mere-idared-kg-P-1809137",77148,"Alimente",77150,"Fructe"
"6","P-1809295","Mandarine / kg",4.49,"kilogram","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/mandarine-kg-P-1809295",77148,"Alimente",77150,"Fructe"
"7","P-1842723","Portocale / kg",4.99,"kilogram","AVAILABLE","Portocale la kg","https://www.cora.ro/portocale-kg-P-1842723",77148,"Alimente",77150,"Fructe"
"8","P-1868793","Pomelo / kg",4.49,"kilogram","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/pomelo-kg-P-1868793",77148,"Alimente",77150,"Fructe"
"9","P-2059534","Portocale plasa 2Kg",5.99,"buc","AVAILABLE","Portocale plasa 2 kg","https://www.cora.ro/portocale-plasa-2kg-P-2059534",77148,"Alimente",77150,"Fructe"
"10","P-1853543","Portocale plasa 1 kg",4.49,"buc","AVAILABLE","Portocale plasa 1 kg","https://www.cora.ro/portocale-plasa-1-kg-P-1853543",77148,"Alimente",77150,"Fructe"
"11","P-2141046","Lamai plasa 500 g",1.99,"buc","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/lamai-plasa-500-g-P-2141046",77148,"Alimente",77150,"Fructe"
"12","P-1853109","Grapefruit rosu / kg",4.99,"kilogram","AVAILABLE","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!","https://www.cora.ro/grapefruit-rosu-kg-P-1853109",77148,"Alimente",77150,"Fructe"
"13","P-1815172","Rodii / kg",5.49,"kilogram","AVAILABLE","Rodii la kg","https://www.cora.ro/rodii-kg-P-1815172",77148,"Alimente",77150,"Fructe"
"14","P-1809111","Mere Golden / kg",4.49,"kilogram","AVAILABLE","Mere Golden la kg","https://www.cora.ro/mere-golden-kg-P-1809111",77148,"Alimente",77150,"Fructe"
"15","P-1815194","Avocado per bucata",4.99,"buc","AVAILABLE","Avocado la buc","https://www.cora.ro/avocado-per-bucata-P-1815194",77148,"Alimente",77150,"Fructe"
