"id","nume","pret","data","magazin","link","categorie","subcategorie","descriere"
"P-1054852","Dove Original sapun 100 g",2.99,2021-10-09,"cora","https://www.cora.ro/dove-original-sapun-100-g-P-1054852","Casa si familie","Frumusete si ingrijire","Formula cu 1/4 crema hidratanta si agenti delicati de curatare ajuta la pastrarea barierei naturale de protectie a pielii. Lasa pielea mai fina, mai catifelata si cu un aspect mai sanatos.. UM: buc. InStoc: AVAILABLE"
"P-2392312","Protex Fresh sapun solid 90 g",2.89,2021-10-09,"cora","https://www.cora.ro/protex-fresh-sapun-solid-90-g-P-2392312","Casa si familie","Frumusete si ingrijire","Sapun de toaleta ce ajuta la protectia impotriva bacteriilor. Testat dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-2372347","Colgate Cavity Protection GRF pasta de dinti 125 ml",8.29,2021-10-09,"cora","https://www.cora.ro/colgate-cavity-protection-grf-pasta-de-dinti-125-ml-P-2372347","Casa si familie","Frumusete si ingrijire","Pasta de dinti Colgate Cavity Protection patrunde in spatiile interdentare, acoperind intreaga suprafata a dintilor, pentru o mai buna protectie anti-carie.. UM: buc. InStoc: AVAILABLE"
"P-2392315","Protex Ultra sapun solid 90 g",2.89,2021-10-09,"cora","https://www.cora.ro/protex-ultra-sapun-solid-90-g-P-2392315","Casa si familie","Frumusete si ingrijire","Sapun de toaleta ce ajuta la protectia impotriva bacteriilor. Testat dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-1945997","Colgate Triple Action pasta de dinti 100 ml",6.39,2021-10-09,"cora","https://www.cora.ro/colgate-triple-action-pasta-de-dinti-100-ml-P-1945997","Casa si familie","Frumusete si ingrijire","Ofera 3 beneficii principale, ajutand la protectia impotriva bacteriilor ce cauzeaza cariile, reducerea actiunii bacteriilor ce cauzeaza ingalbenirea dintilor, protectia impotriva bacteriilor ce cauzeaza respiratia neplacut mirositoare.. UM: buc. InStoc: AVAILABLE"
"P-1775681","Dove Original Exfoliant sapun 100 g",4.39,2021-10-09,"cora","https://www.cora.ro/dove-original-exfoliant-sapun-100-g-P-1775681","Casa si familie","Frumusete si ingrijire","Formula cu 1/4 crema hidratanta si agenti delicati de curatare ajuta la pastrarea barierei naturale de protectie a pielii. Lasa pielea mai fina, mai catifelata si cu un aspect mai sanatos.. UM: buc. InStoc: AVAILABLE"
"P-2392433","Dove sapun shea butter 100 g",2.99,2021-10-09,"cora","https://www.cora.ro/dove-sapun-shea-butter-100-g-P-2392433","Casa si familie","Frumusete si ingrijire","Formula cu 1/4 crema hidratanta si agenti delicati de curatare ajuta la pastrarea barierei naturale de protectie a pielii. Lasa pielea mai fina, mai catifelata si cu un aspect mai sanatos.. UM: buc. InStoc: AVAILABLE"
"P-2392316","Protex Aloe sapun solid 90 g",2.89,2021-10-09,"cora","https://www.cora.ro/protex-aloe-sapun-solid-90-g-P-2392316","Casa si familie","Frumusete si ingrijire","Sapun de toaleta ce ajuta la protectia impotriva bacteriilor. Testat dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-1787222","STR8 Deo spray Original 150ml",9.99,2021-10-09,"cora","https://www.cora.ro/str8-deo-spray-original-150ml-P-1787222","Casa si familie","Frumusete si ingrijire","Nimic nu este mai important decat sa te simti fresh si sa mirosi frumos intreaga zi.. UM: buc. InStoc: AVAILABLE"
"P-2392313","Protex Cream sapun solid 90 g",2.89,2021-10-09,"cora","https://www.cora.ro/protex-cream-sapun-solid-90-g-P-2392313","Casa si familie","Frumusete si ingrijire","Sapun de toaleta ce ajuta la protectia impotriva bacteriilor. Testat dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-2403159","Sensodyne Repair and Protect Whitening Pasta de dinti pentru dinti sensibili reparare puternica 75 ml",17.99,2021-10-09,"cora","https://www.cora.ro/sensodyne-repair-and-protect-whitening-pasta-de-dinti-pentru-dinti-sensibili-reparare-puternica-75-ml-P-2403159","Casa si familie","Frumusete si ingrijire","Sensodyne Repair and Protect Whitening Pasta de dinti pentru dinti sensibili, reparare puternica, protectie de lunga durata si efect de albire.. UM: buc. InStoc: AVAILABLE"
"P-2391924","Sampon fortifiant L'Oreal   Elseve Arginine Resist X3 400ml",17.49,2021-10-09,"cora","https://www.cora.ro/sampon-fortifiant-l-oreal-elseve-arginine-resist-x3-400ml-P-2391924","Casa si familie","Frumusete si ingrijire","Sampon fortifiant ce restructureaza fibra capilara, hraneste radacina firului de par, facand parul mai rezistent. Recomandat pentru par fragil, cu tendinta de cadere.. UM: buc. InStoc: AVAILABLE"
"P-2392314","Protex Deo12 sapun solid 90 g",2.89,2021-10-09,"cora","https://www.cora.ro/protex-deo12-sapun-solid-90-g-P-2392314","Casa si familie","Frumusete si ingrijire","Sapun de toaleta ce ajuta la protectia impotriva bacteriilor. Testat dermatologic.. UM: buc. InStoc: AVAILABLE"
"P-2027458","Dove Fresh Touch sapun 100 g",2.99,2021-10-09,"cora","https://www.cora.ro/dove-fresh-touch-sapun-100-g-P-2027458","Casa si familie","Frumusete si ingrijire","Formula cu 1/4 crema hidratanta si agenti delicati de curatare ajuta la pastrarea barierei naturale de protectie a pielii. Lasa pielea mai fina, mai catifelata si cu un aspect mai sanatos.. UM: buc. InStoc: AVAILABLE"
"P-2335759","Cleanic Dischete Demachiante 120+50Buc",6.99,2021-10-09,"cora","https://www.cora.ro/cleanic-dischete-demachiante-120-50buc-P-2335759","Casa si familie","Frumusete si ingrijire","NA. UM: buc. InStoc: AVAILABLE"
"P-1776263","Always Ultra Night absorbante igienice 2 x 7 bucati",14.3,2021-10-09,"cora","https://www.cora.ro/always-ultra-night-absorbante-igienice-2-x-7-bucati-P-1776263","Casa si familie","Frumusete si ingrijire","Absorbantele Always Ultra Night cu aripioare ofera protectie de pana la 100% pentru forma si fluxul tau unice. Absorbant mai lung la spate si cu aripioare duble, ce il tin fixat cand tu te intorci de pe o parte pe alta in timpul somnului.. UM: buc. InStoc: AVAILABLE"
