"id","nume","pret","link","descriere","subcategorie","data","magazin"
"P-1809111","Mere Golden / kg","4.49","https://www.cora.ro/mere-golden-kg-1809111.html","Mere Golden la kg. UM: Kg","Fructe",2022-02-19,"cora"
"P-1815184","Gutui / kg","6.99","https://www.cora.ro/gutui-kg-1815184.html","Gutui la Kg.. UM: Kg","Fructe",2022-02-19,"cora"
"P-1868793","Pomelo / kg","10.99","https://www.cora.ro/pomelo-kg-1868793.html","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!. UM: Kg","Fructe",2022-02-19,"cora"
"P-1853109","Grapefruit rosu / kg","4.99","https://www.cora.ro/grapefruit-rosu-kg-1853109.html","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!. UM: Kg","Fructe",2022-02-19,"cora"
"P-2141046","Lamai plasa 500 g","3.49","https://www.cora.ro/lamai-plasa-500-g-2141046.html","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!. UM: Buc","Fructe",2022-02-19,"cora"
"P-1832454","Lamai / kg","3.49","https://www.cora.ro/lamai-kg-1832454.html","Fructele pot fi tratate cu Imazalil/Thiabendazol. Coaja nu este recomandata consumului uman!. UM: Kg","Fructe",2022-02-19,"cora"
"P-1747084","Orlando s caise deshidratate soft 200 g","18.39","https://www.cora.ro/orlando-s-caise-deshidratate-soft-200-g-1747084.html","Orlando s Caise Deshidratate 200g. UM: Buc","Fructe",2022-02-19,"cora"
"P-2040270","Orlando s prune deshidratate fara samburi 400 g","15.29","https://www.cora.ro/orlando-s-prune-deshidratate-fara-samburi-400-g-2040270.html","Orlando s Prune Deshidratate 500g. UM: Buc","Fructe",2022-02-19,"cora"
"P-2384109","Orlando s smochine deshidratate 400 g","19.89","https://www.cora.ro/orlando-s-smochine-deshidratate-400-g-2384109.html","Orlando s Smochine Deshidratate 400g. UM: Buc","Fructe",2022-02-19,"cora"
"P-1810719","Banane / kg","6.99","https://www.cora.ro/banane-kg-1810719.html","Banane la kg. UM: Kg","Fructe",2022-02-19,"cora"
"P-1810582","Pepene Verde","8.99","https://www.cora.ro/pepene-verde-1810582.html","Pepene Verde la kg. UM: Kg","Fructe",2022-02-19,"cora"
"P-1842723","Portocale / kg","4.99","https://www.cora.ro/portocale-kg-1842723.html","Portocale la kg. UM: Kg","Fructe",2022-02-19,"cora"
"P-1858460","Coacaze rosii 125 g","12.99","https://www.cora.ro/coacaze-rosii-125-g-1858460.html","Coacaze calitatea 1 din Olanda.. UM: Buc","Fructe",2022-02-19,"cora"
"P-1965572","Castane comestibile","22.99","https://www.cora.ro/castane-comestibile-1965572.html","Castane comestibile la kg.. UM: Kg","Fructe",2022-02-19,"cora"
"P-2450025","Mere Jonagored","8.99","https://www.cora.ro/mere-jonagored-2450025.html","Mere Jonagored la kg. UM: Kg","Fructe",2022-02-19,"cora"
"P-2059534","Portocale plasa 2Kg","8.99","https://www.cora.ro/portocale-plasa-2kg-2059534.html","Portocale plasa 2 kg. UM: Buc","Fructe",2022-02-19,"cora"
"P-1809137","Mere Idared / kg","3.49","https://www.cora.ro/mere-idared-kg-1809137.html","Mere proaspete. UM: Kg","Fructe",2022-02-19,"cora"
